date,startTime,endTime,title,venue,room,address,city,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,source,description
2026-09-07,,,Los Altos Library Closed for Labor Day,Los Altos Library,,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,"0–2, 2–5, 5+",Other,Free,,Adults; Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Kids: Toddlers; Older Adults; Teens,https://sccl.bibliocommons.com/events/68fc04f0831f063d005395b5,no,SCCL · Los Altos,"All SCCLD locations will be CLOSED Monday, September 7 for Labor Day. See regular library hours .

 The Online Library is available 24/7 , including holidays and closures. Visit our website for eBooks, downloads, streaming, and more!"
2026-09-07,,,Woodland Branch Library Closed for Labor Day,Woodland Branch Library,,"1975 Grant Road, Los Altos, CA 94024",Los Altos,"0–2, 2–5, 5+",Other,Free,,Adults; Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Kids: Toddlers; Older Adults; Teens,https://sccl.bibliocommons.com/events/68fc11d1831f063d005398b3,no,SCCL · Los Altos,"All SCCLD locations will be CLOSED Monday, September 7 for Labor Day. See regular library hours .

 The Online Library is available 24/7 , including holidays and closures. Visit our website for eBooks, downloads, streaming, and more!"
2026-09-13,14:00,15:30,Board Game Sunday!,Los Altos Library,Orchard Room,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,"0–2, 2–5, 5+",Other,Free,,Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Older Adults; Teens,https://sccl.bibliocommons.com/events/6970253094297d3600a66ca1,yes,SCCL · Los Altos,"Everyone is invited to play board games!

 Join us on the second Sunday of the month from 2:00 PM to 3:30 PM.

 We have board games for all ages: adults, teens, and children.

 Come with friends & family!

 (The room closes at 3:30 PM, so come early enough to have time to finish your game.)"
2026-09-20,10:30,12:30,Happy Birds Presented by the Los Altos Library Commission,Los Altos Library,"Los Altos Community Center
Grand Oak Room","13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,"0–2, 2–5, 5+",Other,Free,,Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Kids: Toddlers,https://sccl.bibliocommons.com/events/6a91c6a8660e510bf44050c0,no,SCCL · Los Altos,"NOTE: THIS EVENT WILL TAKE PLACE AT THE LOS ALTOS COMMUNITY CENTER GRAND OAK ROOM

 Join us for this special Happy Birds program presented by the Los Altos Library Commission.

 The Happy Birds Show includes over 25 amazing tricks performed by the show's famous talking and singing parrots! It is fast-paced and interactive fun for the whole family.

 Arrive at 10:30 to decorate a book bag or bucket hat. Happy Birds will begin at 11am."
2026-10-11,14:00,15:30,Board Game Sunday!,Los Altos Library,Orchard Room,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,"0–2, 2–5, 5+",Other,Free,,Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Older Adults; Teens,https://sccl.bibliocommons.com/events/6970253094297d3600a66ca2,yes,SCCL · Los Altos,"Everyone is invited to play board games!

 Join us on the second Sunday of the month from 2:00 PM to 3:30 PM.

 We have board games for all ages: adults, teens, and children.

 Come with friends & family!

 (The room closes at 3:30 PM, so come early enough to have time to finish your game.)"
2026-10-12,,,Los Altos Library Closed for Indigenous Peoples' Day,Los Altos Library,,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,"0–2, 2–5, 5+",Other,Free,,Adults; Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Kids: Toddlers; Older Adults; Teens,https://sccl.bibliocommons.com/events/68fc04f0831f063d005395b6,no,SCCL · Los Altos,"All SCCLD locations will be CLOSED Monday, October 12 for Indigenous Peoples' Day.. See regular library hours .

 The Online Library is available 24/7 , including holidays and closures. Visit our website for eBooks, downloads, streaming, and more!"
2026-10-12,,,Woodland Branch Library Closed for Indigenous Peoples' Day,Woodland Branch Library,,"1975 Grant Road, Los Altos, CA 94024",Los Altos,"0–2, 2–5, 5+",Other,Free,,Adults; Kids: Babies; Kids: Family Events; Kids: Grades 5-8; Kids: Grades K-8; Kids: Preschoolers; Kids: Toddlers; Older Adults; Teens,https://sccl.bibliocommons.com/events/68fc11d1831f063d005398b4,no,SCCL · Los Altos,"All SCCLD locations will be CLOSED Monday, October 12 for Indigenous Peoples' Day. See regular library hours .

 The Online Library is available 24/7 , including holidays and closures. Visit our website for eBooks, downloads, streaming, and more!"
