date,startTime,endTime,title,venue,room,address,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,description
2026-09-07,,,CLOSED: Labor Day,,,,"0–2, 2–5, 5+",Other,Free,,Adults; Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Seniors; Teens (14-18); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68cc73ae6df9ca153ebb5f41,no,"All Palo Alto City libraries will be closed on Monday, September 7 for Labor Day.

 Our eLibrary is open 24/7!"
2026-10-12,,,CLOSED: Indigenous Peoples' Day,,,,"0–2, 2–5, 5+",Other,Free,,Adults; Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Seniors; Teens (14-18); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68cc73dc62a8786065c33fab,no,"All Palo Alto City libraries will be closed on Monday, October 12 for Indigenous Peoples' Day.

 Our eLibrary is open 24/7!"
2026-10-17,,,Practice Your Vote!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Festivals & Community,Free,,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a57fc45cca66c2f00a3ae1f,no,"Come practice your right to vote! Visit any Palo Alto City Library Branch to vote on our oversized ballot. On November 4th, we'll tally up the votes and see who won by branch AND overall amongst all the branches. Don't miss out on your opportunity to practice your voting skillz!"
2026-10-17,,,Practice Your Vote!,Downtown Library,,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Festivals & Community,Free,,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a57fc950d65ac36003ff829,no,"Come practice your right to vote! Visit any Palo Alto City Library Branch to vote on our oversized ballot. On November 4th, we'll tally up the votes and see who won by branch AND overall amongst all the branches. Don't miss out on your opportunity to practice your voting skillz!"
2026-10-17,,,Practice Your Vote!,Rinconada Library,,"1213 Newell Rd., Palo Alto, CA 94303","0–2, 2–5, 5+",Festivals & Community,Free,,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a57fcfe0d65ac36003ff83e,no,"Come practice your right to vote! Visit any Palo Alto City Library Branch to vote on our oversized ballot. On November 4th, we'll tally up the votes and see who won by branch AND overall amongst all the branches. Don't miss out on your opportunity to practice your voting skillz!"
2026-10-17,,,Practice Your Vote!,Children's Library,,"1276  Harriet Street, Palo Alto, CA 94301","0–2, 2–5, 5+",Festivals & Community,Free,,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a57faf688e9bf28003121f6,no,"Come practice your right to vote! Visit any Palo Alto City Library Branch to vote on our oversized ballot. On November 4th, we'll tally up the votes and see who won by branch AND overall amongst all the branches. Don't miss out on your opportunity to practice your voting skillz!"
2026-10-17,,,Practice Your Vote!,Mitchell Park Library,,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Festivals & Community,Free,,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a57fcc8cca66c2f00a3ae6d,no,"Come practice your right to vote! Visit any Palo Alto City Library Branch to vote on our oversized ballot. On November 4th, we'll tally up the votes and see who won by branch AND overall amongst all the branches. Don't miss out on your opportunity to practice your voting skillz!"
2026-10-20,16:00,17:00,Animal Friends: Rhea and her Rescue Dog,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301","0–2, 2–5, 5+",Stories,Free,"Please note: registrations will be released for standby attendees at the start of the program.
A waitlist may be available.
Space is limited (35 seats) — check the official page for registration.
Registration required.",Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/6a88836846e4c80031cbf01c,no,"Join PACL and Project HumaneKind as we host Rhea Sampson and her rescue dog, Travis (a rat-terrier/chihuahua mix), at the Children's Library! Rhea is the author of the book Saving Travis . This presentation will consist of a reading of her book, a discussion about good pet care, and a sing-a-long! Please arrive on time. Project HumaneKind teaches compassion and respect for living beings. Through humane education, they combat cruelty and indifference and bring awareness to the intelligent, social, and emotional depths of our fellow animals. Visit them online at www.projecthumanekind.org ."
