date,startTime,endTime,title,venue,room,address,city,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,source,description
2026-11-08,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,no,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-11-15,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,no,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-11-22,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,no,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-11-29,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,no,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
